protobuf_field_number,protobuf_field,field_status,protobuf_type,repeated,instance_fields,opcua_node_pattern,dcs_data_type,engineering_unit,data_source,control_owner
201,BoardTelemetry.optics_sfp_dom_supported,Active,SfpBooleanReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.DomSupported,Boolean,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
202,BoardTelemetry.optics_sfp_eeprom_readable,Active,SfpBooleanReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.EepromReadable,Boolean,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
203,BoardTelemetry.thermal_fans_present,Active,FanBooleanReading,Yes,fan,DAPHNE.Boards.{BoardId}.Thermal.Fans.{Fan}.Present,Boolean,N/A,FpgaRegDict fanControl/fanReadSpeed_0..1,Slow Controls
204,BoardTelemetry.thermal_fans_pwm_command,Active,FanIntegerReading,Yes,fan,DAPHNE.Boards.{BoardId}.Thermal.Fans.{Fan}.PwmCommand,Integer,count,FpgaRegDict fanControl/fanReadSpeed_0..1,Slow Controls
205,BoardTelemetry.thermal_fans_tachometer_raw,Active,FanIntegerReading,Yes,fan,DAPHNE.Boards.{BoardId}.Thermal.Fans.{Fan}.TachometerRaw,Integer,count,FpgaRegDict fanControl/fanReadSpeed_0..1,Slow Controls
206,BoardTelemetry.thermal_fans_speed_rpm,Active,FanDoubleReading,Yes,fan,DAPHNE.Boards.{BoardId}.Thermal.Fans.{Fan}.SpeedRpm,Double,rpm,FpgaRegDict fanControl/fanReadSpeed_0..1,Slow Controls
207,BoardTelemetry.thermal_fans_running,Active,FanBooleanReading,Yes,fan,DAPHNE.Boards.{BoardId}.Thermal.Fans.{Fan}.Running,Boolean,N/A,FpgaRegDict fanControl/fanReadSpeed_0..1,Slow Controls
208,BoardTelemetry.thermal_fans_stalled,Active,FanBooleanReading,Yes,fan,DAPHNE.Boards.{BoardId}.Thermal.Fans.{Fan}.Stalled,Boolean,N/A,FpgaRegDict fanControl/fanReadSpeed_0..1,Slow Controls
209,BoardTelemetry.thermal_fans_stall_count,Active,FanLongReading,Yes,fan,DAPHNE.Boards.{BoardId}.Thermal.Fans.{Fan}.StallCount,Long,count,FpgaRegDict fanControl/fanReadSpeed_0..1,Slow Controls
210,BoardTelemetry.thermal_fans_control_mode,Active,FanStringReading,Yes,fan,DAPHNE.Boards.{BoardId}.Thermal.Fans.{Fan}.ControlMode,String,N/A,FpgaRegDict fanControl/fanReadSpeed_0..1,Slow Controls
211,BoardTelemetry.thermal_fans_last_update,Active,FanDateTimeReading,Yes,fan,DAPHNE.Boards.{BoardId}.Thermal.Fans.{Fan}.LastUpdate,DateTime,N/A,FpgaRegDict fanControl/fanReadSpeed_0..1,Slow Controls
212,BoardTelemetry.timing_clock_source_controlled,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Timing.ClockSourceControlled,Boolean,N/A,endpointClockControl.CLOCK_SOURCE,DAQ / DTS
213,BoardTelemetry.timing_mmcm0_locked,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Timing.Mmcm0Locked,Boolean,N/A,ClockStatus.mmcm0_locked,DAQ / DTS
214,BoardTelemetry.timing_mmcm1_locked,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Timing.Mmcm1Locked,Boolean,N/A,ClockStatus.mmcm1_locked,DAQ / DTS
215,BoardTelemetry.timing_endpoint_fsm_state,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Timing.EndpointFsmState,String,N/A,endpointStatus.FSM_STATUS,DAQ / DTS
216,BoardTelemetry.timing_endpoint_fsm_raw,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Timing.EndpointFsmRaw,Integer,N/A,endpointStatus.FSM_STATUS,DAQ / DTS
217,BoardTelemetry.timing_timestamp_valid,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Timing.TimestampValid,Boolean,N/A,endpointStatus.TIMESTAMP_OK,DAQ / DTS
218,BoardTelemetry.timing_timing_usable,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Timing.TimingUsable,Boolean,N/A,preflight readiness contract,DAQ / DTS
219,BoardTelemetry.timing_raw_endpoint_status,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Timing.RawEndpointStatus,Integer,N/A,ClockStatus.raw_endpoint_status,DAQ / DTS
220,BoardTelemetry.timing_endpoint_address,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Timing.EndpointAddress,Integer,N/A,endpointControl.ADDRESS,DAQ / DTS
221,BoardTelemetry.timing_tx_enable_requested,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Timing.TxEnableRequested,Boolean,N/A,timing endpoint contract,DAQ / DTS
222,BoardTelemetry.timing_tx_disabled,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Timing.TxDisabled,Boolean,N/A,timing endpoint output,DAQ / DTS
223,BoardTelemetry.timing_loss_of_signal,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Timing.LossOfSignal,Boolean,N/A,sfp_tmg_los,DAQ / DTS
224,BoardTelemetry.timing_lock_loss_count,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Timing.LockLossCount,Long,N/A,required timing health block,DAQ / DTS
225,BoardTelemetry.timing_auto_relock_count,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Timing.AutoRelockCount,Long,N/A,required timing health block,DAQ / DTS
226,BoardTelemetry.timing_last_lock_loss_time,Active,DateTimeSample,No,,DAPHNE.Boards.{BoardId}.Timing.LastLockLossTime,DateTime,N/A,required timing health block,DAQ / DTS
227,BoardTelemetry.timing_timestamp,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Timing.Timestamp,Long,N/A,timestamp0..3 register words,DAQ / DTS
228,BoardTelemetry.timing_last_dts_command_id,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Timing.LastDtsCommandId,Integer,N/A,timing/header integration contract,DAQ / DTS
229,BoardTelemetry.timing_group_mask,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Timing.GroupMask,Long,N/A,versioned timing configuration,DAQ / DTS
230,BoardTelemetry.timing_delay_trim,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Timing.DelayTrim,Integer,N/A,versioned timing configuration,DAQ / DTS
231,BoardTelemetry.timing_command_decoder_map,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Timing.CommandDecoderMap,String,N/A,EDMS 2395364 v2 control-bus registers 0x60..0x67,DAQ / DTS
232,BoardTelemetry.timing_clock_phase_update_complete,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Timing.ClockPhaseUpdateComplete,Boolean,N/A,EDMS 2395364 v2 status register 0x71 bit 4,DAQ / DTS
233,BoardTelemetry.timing_coarse_delay,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Timing.CoarseDelay,Integer,N/A,EDMS 2395364 v2 deskew registers 0x72..0x73 bits 3..0,DAQ / DTS
234,BoardTelemetry.timing_fine_phase,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Timing.FinePhase,Integer,N/A,EDMS 2395364 v2 deskew registers 0x72..0x73 bits 15..4,DAQ / DTS
235,BoardTelemetry.timing_protocol_error_count,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Timing.ProtocolErrorCount,Long,N/A,EDMS 2395364 v2 err_cnt register 0x76,DAQ / DTS
236,BoardTelemetry.timing_endpoint_version,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Timing.EndpointVersion,String,N/A,EDMS 2395364 v2 version registers 0x78..0x7b,DAQ / DTS
237,BoardTelemetry.afe_global_power_state,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.AFE.Global.PowerState,Boolean,N/A,afeGlobalControl.POWERSTATE,Slow Controls
238,BoardTelemetry.afe_global_reset_asserted,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.AFE.Global.ResetAsserted,Boolean,N/A,afeGlobalControl.RESET,DAQ
239,BoardTelemetry.afe_global_busy_afe0,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.AFE.Global.BusyAfe0,Boolean,N/A,afeGlobalControl.BUSY_AFE0,DAQ
